Timestamp,Lamp Brightness,Movement,Light (Lux)
17.28 , 0 , 1 , 99999
17.30 , 0 , 1 , 99999
17.32 , 0 , 1 , 99999
17.32 , 0 , 1 , 99999
17.33 , 0 , 1 , 99999
17.33 , 0 , 1 , 99999
17.35 , 0 , 1 , 99999
17.35 , 0 , 1 , 99999
17.37 , 0 , 1 , 99999
17.37 , 0 , 1 , 99999
17.38 , 0 , 1 , 99999
17.38 , 0 , 1 , 99999
17.40 , 0 , 1 , 99999
17.40 , 0 , 1 , 99999
17.42 , 0 , 1 , 99999
21.95 , 0 , 1 , 0
21.95 , 3 , 1 , 0
21.97 , 3 , 1 , 0
21.97 , 3 , 1 , 0
21.98 , 3 , 1 , 0
21.98 , 3 , 1 , 0
21.98 , 4 , 1 , 0
21.98 , 5 , 1 , 0
22.00 , 5 , 1 , 0
22.00 , 5 , 1 , 0
22.02 , 5 , 1 , 0
22.02 , 5 , 1 , 0
22.03 , 5 , 1 , 0
22.03 , 5 , 1 , 0
22.05 , 5 , 1 , 0
22.05 , 5 , 1 , 0
22.07 , 5 , 1 , 0
22.07 , 5 , 1 , 0
22.08 , 5 , 1 , 0
22.08 , 5 , 1 , 0
22.10 , 5 , 1 , 0
22.13 , 5 , 1 , 0
22.13 , 5 , 1 , 0
22.15 , 5 , 1 , 0
22.15 , 5 , 1 , 0
22.17 , 5 , 1 , 0
22.17 , 5 , 1 , 0
22.18 , 5 , 1 , 0
22.18 , 5 , 1 , 0
22.20 , 5 , 1 , 0
22.20 , 5 , 1 , 0
22.22 , 5 , 1 , 0
22.22 , 5 , 1 , 0
22.23 , 5 , 1 , 0
22.23 , 5 , 1 , 0
22.25 , 5 , 1 , 0
22.25 , 5 , 1 , 0
22.48 , 5 , 1 , 0
22.50 , 5 , 1 , 0
22.50 , 5 , 1 , 0
22.52 , 5 , 1 , 0
22.52 , 5 , 1 , 0
22.53 , 5 , 1 , 0
22.53 , 5 , 1 , 0
22.55 , 5 , 1 , 0
22.55 , 5 , 1 , 0
22.55 , 0 , 0 , 0
22.55 , 0 , 0 , 0
22.57 , 0 , 0 , 0
22.57 , 0 , 0 , 0
22.57 , 3 , 1 , 0
22.58 , 3 , 1 , 0
22.58 , 3 , 1 , 0
22.58 , 0 , 1 , 0
22.58 , 0 , 0 , 0
22.60 , 0 , 0 , 0
22.60 , 0 , 0 , 0
22.62 , 0 , 0 , 0
22.62 , 0 , 0 , 0
22.63 , 0 , 0 , 0
22.63 , 0 , 0 , 0
22.65 , 0 , 0 , 0
22.65 , 0 , 0 , 0
22.67 , 0 , 0 , 0
22.67 , 0 , 0 , 0
22.68 , 0 , 0 , 0
22.68 , 0 , 0 , 0
22.70 , 3 , 1 , 0
22.70 , 3 , 1 , 0
11.67 , 0 , 1 , 99999
11.67 , 0 , 1 , 99999
11.68 , 0 , 1 , 99999
11.68 , 0 , 1 , 99999
11.70 , 0 , 1 , 99999
11.70 , 0 , 1 , 99999
11.72 , 0 , 1 , 99999
11.72 , 0 , 1 , 99999
11.73 , 0 , 1 , 99999
11.73 , 0 , 1 , 99999
11.75 , 0 , 1 , 99999
11.75 , 0 , 1 , 99999
11.77 , 0 , 1 , 99999
11.77 , 0 , 1 , 99999
11.78 , 0 , 1 , 99999
11.78 , 0 , 1 , 99999
11.80 , 0 , 1 , 99999
11.80 , 0 , 1 , 99999
11.82 , 0 , 1 , 99999
11.82 , 0 , 1 , 99999
11.83 , 0 , 1 , 99999
11.83 , 0 , 1 , 99999
11.85 , 0 , 1 , 99999
11.85 , 0 , 1 , 99999
11.87 , 0 , 1 , 99999
11.87 , 0 , 1 , 99999
11.88 , 0 , 1 , 99999
11.88 , 0 , 1 , 99999
11.90 , 0 , 1 , 99999
11.90 , 0 , 1 , 99999
11.92 , 0 , 1 , 99999
11.92 , 0 , 1 , 99999
11.93 , 0 , 0 , 99999
11.93 , 0 , 0 , 99999
11.95 , 0 , 0 , 99999
11.95 , 0 , 0 , 99999
11.97 , 0 , 0 , 99999
11.97 , 0 , 1 , 99999
11.98 , 0 , 1 , 99999
11.98 , 0 , 1 , 99999
12.00 , 0 , 1 , 99999
12.00 , 0 , 1 , 99999
12.02 , 0 , 1 , 99999
12.02 , 0 , 1 , 99999
12.03 , 0 , 1 , 99999
12.03 , 0 , 1 , 99999
12.05 , 0 , 1 , 99999
12.05 , 0 , 1 , 99999
12.07 , 0 , 1 , 99999
12.07 , 0 , 1 , 99999
18.75 , 0 , 1 , 319
18.75 , 0 , 1 , 330
18.77 , 0 , 1 , 656
18.77 , 0 , 1 , 797
18.78 , 0 , 1 , 779
18.78 , 0 , 1 , 832
18.80 , 0 , 1 , 726
18.80 , 0 , 1 , 1148
18.82 , 0 , 1 , 1017
18.82 , 0 , 1 , 1253
18.83 , 0 , 1 , 1155
18.83 , 0 , 1 , 914
18.85 , 0 , 1 , 1114
18.85 , 0 , 1 , 1191
18.87 , 0 , 1 , 2899
18.87 , 0 , 1 , 3345
18.88 , 0 , 1 , 3930
18.88 , 0 , 1 , 4122
18.90 , 0 , 1 , 2578
18.90 , 0 , 1 , 5094
18.92 , 0 , 1 , 6574
18.92 , 0 , 1 , 6003
18.93 , 0 , 1 , 7071
18.93 , 0 , 1 , 7441
18.95 , 0 , 1 , 7441
18.95 , 0 , 1 , 22470
18.97 , 0 , 1 , 196
18.97 , 0 , 1 , 99999
18.98 , 0 , 1 , 99999
18.98 , 0 , 1 , 99999
19.00 , 0 , 1 , 99999
19.00 , 0 , 1 , 99999
19.02 , 0 , 1 , 528
19.02 , 0 , 1 , 611
19.03 , 0 , 1 , 5404
19.03 , 0 , 1 , 99999
19.05 , 0 , 1 , 99999
19.05 , 0 , 1 , 99999
19.08 , 0 , 1 , 1644
19.08 , 0 , 1 , 905
19.10 , 0 , 1 , 547
19.10 , 0 , 1 , 315
19.12 , 0 , 1 , 277
19.12 , 0 , 1 , 296
19.13 , 0 , 1 , 370
19.13 , 0 , 0 , 573
19.15 , 0 , 1 , 779
19.15 , 0 , 1 , 1034
19.17 , 0 , 1 , 1155
19.17 , 0 , 1 , 1108
19.18 , 0 , 0 , 1261
19.18 , 0 , 0 , 1312
19.20 , 0 , 0 , 1295
19.20 , 0 , 1 , 1134
19.22 , 0 , 1 , 1367
19.22 , 0 , 1 , 1405
19.23 , 0 , 1 , 1878
19.23 , 0 , 1 , 2521
19.25 , 0 , 1 , 99999
19.25 , 0 , 1 , 99999
19.27 , 0 , 0 , 99999
19.27 , 0 , 0 , 99999
19.28 , 0 , 0 , 99999
19.28 , 0 , 0 , 99999
19.30 , 0 , 0 , 99999
19.30 , 0 , 1 , 99999
19.32 , 0 , 1 , 99999
19.32 , 0 , 1 , 99999
19.33 , 0 , 1 , 99999
19.33 , 0 , 1 , 99999
19.35 , 0 , 1 , 99999
19.35 , 0 , 1 , 99999
19.37 , 0 , 1 , 99999
19.37 , 0 , 1 , 99999
19.38 , 0 , 1 , 99999
19.38 , 0 , 1 , 99999
19.40 , 0 , 1 , 99999
19.40 , 0 , 1 , 99999
19.42 , 0 , 1 , 99999
19.42 , 0 , 1 , 99999
19.43 , 0 , 1 , 99999
19.43 , 0 , 1 , 99999
19.45 , 0 , 1 , 99999
19.45 , 0 , 1 , 99999
19.47 , 0 , 1 , 99999
19.47 , 0 , 1 , 99999
19.48 , 0 , 1 , 99999
19.48 , 0 , 1 , 99999
19.50 , 0 , 1 , 99999
19.50 , 0 , 0 , 99999
19.52 , 0 , 0 , 11057
19.52 , 0 , 0 , 7071
19.53 , 0 , 0 , 3488
19.53 , 0 , 0 , 2667
20.52 , 0 , 1 , 167
20.53 , 0 , 1 , 162
20.53 , 0 , 1 , 176
